Match_SK,match_id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin,Country_id
230,501259,Kochi Tuskers Kerala,Kings XI Punjab,13-05-11,2011,Holkar Cricket Stadium,Indore,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,KD Karthik,6,1
231,501260,Royal Challengers Bangalore,Kolkata Knight Riders,14-05-11,2011,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,CH Gayle,4,1
232,501261,Mumbai Indians,Deccan Chargers,14-05-11,2011,Wankhede Stadium,Mumbai,India,Deccan Chargers,Deccan Chargers,bat,runs,Result,A Mishra,10,1
233,501262,Kings XI Punjab,Delhi Daredevils,15-05-11,2011,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,Delhi Daredevils,Kings XI Punjab,field,runs,Result,PP Chawla,29,1
234,501263,Kochi Tuskers Kerala,Rajasthan Royals,15-05-11,2011,Holkar Cricket Stadium,Indore,India,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,wickets,Result,BJ Hodge,8,1
235,501264,Pune Warriors,Deccan Chargers,16-05-11,2011,Dr DY Patil Sports Academy,Mumbai,India,Deccan Chargers,Deccan Chargers,field,wickets,Result,A Mishra,6,1
236,501265,Kings XI Punjab,Royal Challengers Bangalore,17-05-11,2011,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,Kings XI Punjab,Kings XI Punjab,bat,runs,Result,AC Gilchrist,111,1
237,501266,Chennai Super Kings,Kochi Tuskers Kerala,18-05-11,2011,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,WP Saha,11,1
238,501267,Pune Warriors,Kolkata Knight Riders,19-05-11,2011,Dr DY Patil Sports Academy,Mumbai,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,YK Pathan,7,1
239,501268,Mumbai Indians,Rajasthan Royals,20-05-11,2011,Wankhede Stadium,Mumbai,India,Mumbai Indians,Rajasthan Royals,bat,wickets,Result,SR Watson,10,1
240,501269,Kings XI Punjab,Deccan Chargers,21-05-11,2011,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,Kings XI Punjab,Deccan Chargers,field,runs,Result,S Dhawan,82,1
241,501270,Delhi Daredevils,Pune Warriors,21-05-11,2011,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,NULL,bat,NO Result,No Result,NULL,NULL,1
242,501271,Royal Challengers Bangalore,Chennai Super Kings,22-05-11,2011,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,CH Gayle,8,1
243,501272,Kolkata Knight Riders,Mumbai Indians,22-05-11,2011,Eden Gardens,Kolkata,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,JEC Franklin,5,1
244,501273,Royal Challengers Bangalore,Chennai Super Kings,24-05-11,2011,Wankhede Stadium,Mumbai,India,Chennai Super Kings,Chennai Super Kings,field,wickets,Result,SK Raina,6,1
245,501274,Mumbai Indians,Kolkata Knight Riders,25-05-11,2011,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,MM Patel,4,1
246,501275,Royal Challengers Bangalore,Mumbai Indians,27-05-11,2011,"MA Chidambaram Stadium, Chepauk",Chennai,India,Mumbai Indians,Royal Challengers Bangalore,field,runs,Result,CH Gayle,43,1
247,501276,Chennai Super Kings,Royal Challengers Bangalore,28-05-11,2011,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,M Vijay,58,1
248,548311,Chennai Super Kings,Mumbai Indians,04-04-12,2012,"MA Chidambaram Stadium, Chepauk",Chennai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,RE Levi,8,1
